"month","item","definition","uni_lemma","learned","value"
16,13,"abe","monkey",0,29.250680773
16,14,"gås","goose",0,22.145936213
16,15,"løve","lion",0,31.595322003
16,16,"and","duck",0,26.548534398
16,18,"mus","mouse",0,26.872323617
16,19,"bamse","teddybear",0,15.138888475
16,20,"hest","horse",0,34.554919486
16,22,"bi","bee",0,21.64985294
16,25,"bjørn","bear",0,22.641188999
16,26,"hvalp","puppy",0,24.62986511
16,27,"pingvin","penguin",0,24.479509231
16,28,"dyr","animal",0,17.141971407
16,29,"hund","dog",0,32.154876688
16,31,"egern","squirrel",0,29.107727428
16,33,"skildpadde","turtle",0,26.772987949
16,34,"elefant","elephant",0,23.662587171
16,36,"sommerfugl","butterfly",0,23.080899336
16,38,"kanin","bunny",0,30.421870569
16,39,"tiger","tiger",0,26.217948919
16,41,"kat","cat",0,29.436263344
16,42,"ugle","owl",0,22.055923751
16,43,"frø","frog",0,32.736854337
16,44,"killing","kitty",0,24.942855356
16,46,"fugl","bird",0,25.418840656
16,47,"ko","cow",0,30.075288985
16,49,"får","sheep",0,24.598795847
16,51,"æsel","donkey",0,22.948938311
16,52,"giraf","giraffe",0,26.807918454
16,54,"gris","pig",0,24.28425445
16,55,"lam","lamb",0,21.626011466
16,56,"barnevogn","stroller",0,38.766073276
16,57,"flyvemaskine","airplane",0,28.766022803
16,58,"motorcykel","motorcycle",0,33.685343356
16,59,"bil","car",0,36.917813488
16,60,"helikopter","helicopter",0,27.186329473
16,62,"brandbil","firetruck",0,31.201089027
16,63,"klapvogn","stroller",0,38.766073276
16,64,"tog","train",0,28.873767074
16,65,"bus","bus",0,30.140002123
16,67,"traktor","tractor",0,30.857953851
16,68,"cykel","bicycle",0,27.997888095
16,69,"lastbil","truck",0,26.79222187
16,70,"ballon","balloon",0,30.729565436
16,76,"bog","book",0,33.738978901
16,79,"bold","ball",0,33.165545571
16,80,"klods","block",0,26.076012564
16,82,"dukke","doll",0,24.658948355
16,84,"sæbebobler","bubbles",0,15.96586783
16,89,"kiks","cracker",0,23.859303355
16,93,"slik","candy",0,19.060582977
16,94,"banan","banana",0,22.123646563
16,98,"kød","meat",0,18.207661272
16,99,"smør","butter",0,20.400718193
16,103,"brød","bread",0,22.381525075
16,104,"mad","food",1,23.704892277
16,110,"mælk","milk",0,22.618407387
16,118,"cornflakes","cheerios",0,14.997415248
16,119,"ost","cheese",0,16.565329026
16,130,"gulerødder","carrots",0,17.59932643
16,134,"pizza","pizza",0,19.486183262
16,136,"havregryn","cereal",0,26.394134556
16,139,"is","ice cream",0,13.084856946
16,145,"juice","juice",0,19.003040525
16,146,"rosiner","raisin",0,20.731982446
16,147,"æble","apple",0,15.903154588
16,148,"kaffe","coffee",0,22.361793196
16,150,"æg","egg",0,26.48100404
16,151,"kage(r)","cake",0,22.005887648
16,153,"ærter","peas",0,12.054220657
16,156,"ble","diaper",0,32.276250021
16,157,"hue","hat",0,34.782924486
16,158,"strømpebukser","tights",0,25.162033943
16,159,"bluse","shirt",0,41.026053745
16,160,"jakke","jacket",0,37.66112726
16,161,"strømper","sock",0,31.484165215
16,162,"bukser","pants",0,29.326787596
16,164,"støvler","boots",0,20.908197571
16,166,"knap","button",0,29.869070996
16,171,"frakke","coat",0,36.287408658
16,172,"lynlås","zipper",0,29.297158658
16,174,"hagesmæk","bib",0,35.389871592
