"definition","freq"
"you",11.7298014158474
"the",11.3025623942704
"it",10.9958973118944
"a",10.9499640867837
"to",10.8543729291748
"i",10.8281035331563
"what",10.7806423676617
"that",10.6736420694569
"and",10.6401730351106
"is",10.449091343638
"do",10.4109976861338
"in",10.2418508571036
"oh",10.1494878859933
"on",10.1175499951141
"this",10.0187340405405
"that's",10.0148052886681
"your",9.99615788737744
"have",9.94049427816522
"no",9.92407418614452
"don't",9.88623965912658
"he",9.80488194878201
"there",9.7914939755752
"one",9.78661660080471
"are",9.75278093511142
"of",9.71287169291735
"right",9.68700923909068
"know",9.67646147395769
"it's",9.6615433717582
"see",9.6566274746046
"go",9.65297280442579
"can",9.61846859750383
"yeah",9.61326893243235
"like",9.60857943499261
"did",9.58479629321
"here",9.58093794475527
"we",9.53755560876329
"put",9.50539519875738
"me",9.49250726373985
"for",9.42577428022034
"get",9.42027709580311
"now",9.42003387556599
"want",9.410911062438
"not",9.40401391710636
"ok",9.39324509203072
"with",9.38395748813999
"all",9.38277992891569
"she",9.3573801146255
"was",9.34966743719728
"what's",9.34940642009918
"up",9.34810031168067
"they",9.32473991228468
"going",9.32295451634532
"well",9.28284706276293
"think",9.21183924809992
"so",9.16377273615985
"you're",9.16335358075185
"just",9.14590851181679
"good",9.13302726887351
"look",9.12717613071541
"at",9.10786458038695
"uh",9.10130645095205
"got",9.09661160664784
"out",9.09076823683534
"come",9.08375621986673
"be",9.05169627853659
"yes",9.05028898382796
"okay",9.04711531087322
"them",9.04452188728124
"how",9.03073512267646
"hmmm",8.98193299098687
"where",8.9452022639593
"but",8.92319149068606
"some",8.9165060800392
"then",8.91476052739726
"her",8.9036793329266
"i'm",8.8963143241848
"if",8.87486763568805
"down",8.83913175254611
"little",8.81981313623223
"my",8.80642406385787
"why",8.80071662871916
"when",8.77121506237538
"about",8.75809807230909
"him",8.72955886955857
"uhh",8.71735466633852
"he's",8.71358200542163
"does",8.70034773451408
"say",8.61938870373091
"take",8.59748202264504
"gonna",8.5956346177228
"his",8.58410389669886
"too",8.579980179515
"over",8.56293108309009
"doing",8.54461378699223
"back",8.54364036143109
"i'll",8.53993267838573
"would",8.51077262361331
"very",8.49882553405805
"because",8.49801037199946
"there's",8.48322267184508
"who",8.46737249643228
"or",8.45765547870004
"make",8.43576619272051
"big",8.4257355809274
"tell",8.41759382619348
"off",8.41360887515967
"didn't",8.37701116081637
"let's",8.35585004100747
"more",8.34212526333359
"two",8.32845106681936
"play",8.31776616671934
"eat",8.28399930424853
"can't",8.27384693278451
"will",8.25088114470065
"really",8.24407127029579
"let",8.24222989137223
"those",8.23642052726539
"isn't",8.23615566168312
"she's",8.22147894726719
"were",8.20467182895081
"had",8.19753873972118
"time",8.19478163844336
"they're",8.19422930481982
"these",8.19201691453688
"other",8.1285852003745
"something",8.07090608878782
"has",8.06934236681164
"way",8.06463647577422
"nice",8.05864371221562
"said",8.05642676752298
"another",8.04750951098142
"where's",8.04750951098142
"house",8.03980234373648
"give",8.03786623470962
"alright",8.01961279440027
"wanna",7.99564360428727
"doesn't",7.99294454731811
"else",7.97384437594469
"as",7.95752740223077
"um",7.95296679092313
"sit",7.95120715647297
"could",7.93092537248339
"boy",7.9168074909376
"sure",7.91132401896335
"an",7.90617884039481
"baby",7.89469085042562
"who's",7.89245204352035
"from",7.89020821310996
"any",7.88306935130575
"wait",7.88004820097158
"again",7.85825418218603
"we'll",7.84541603659248
"thank",7.83201418050547
"girl",7.81480342948936
"wee",7.80016307039296
"school",7.78904040165748
"away",7.78821155784708
"daddy",7.78155595923534
"maybe",7.75747876658418
"goes",7.75405263903576
"need",7.75276480885133
"says",7.75190533307861
"mommy",7.74932246466036
"today",7.7484600238997
"car",7.7445698093545
"we're",7.74022952476318
"thing",7.72488843932307
"ah",7.72444664563354
"book",7.722677516468
"which",7.722677516468
"mean",7.71868549519847
"name",7.71690613529839
"turn",7.71199650704767
"show",7.68616230349291
"better",7.68063742756094
"things",7.67693714581808
"went",7.64108424917491
"here's",7.63482067774554
"first",7.59839932932396
"man",7.59789795052178
"...",7.59135704669855
"home",7.58781721999343
"should",7.58629630715272
"remember",7.56837926783652
"happened",7.56423847517049
"xx",7.56216163122565
"ha",7.52833176670725
"shall",7.52725591937378
"three",7.51479976048867
"day",7.49554194388426
"kind",7.49220304261874
"been",7.48829351515943
"bed",7.4770384723197
"find",7.4770384723197
"ya",7.46106551435428
"bit",7.45356187164337
"won't",7.45356187164337
"hey",7.44949800538285
"hear",7.44658509915773
"try",7.43955930913332
"around",7.43779512167193
"much",7.42535788702715
"watch",7.41336733569524
"people",7.41276401742656
"you've",7.40731771046942
"please",7.39756153552405
"pretty",7.39572160860205
"minute",7.39387829010776
"adam",7.39326309476384
"help",7.37462901521894
"last",7.36391350140582
"sarah",7.36264527041782
"bring",7.36137542897735
"you'll",7.34987370473834
"into",7.34729970074316
"dog",7.33236920592906
"thought",7.32317071794347
"only",7.32184971378836
"mummy",7.31986492980897
"i've",7.31588350450979
"looks",7.30787278076371
"hi",7.30720231476474
"room",7.30653139893951
"water",7.30114780585603
"leave",7.29979736675816
"getting",7.2848209125686
"many",7.27655640271871
"before",7.27517231945277
"next",7.27239839257005
"anything",7.25417784645652
"night",7.25417784645652
"table",7.24921505711439
"read",7.24351297466548
"long",7.23705902612474
"work",7.2291138777933
"by",7.22329567956231
"talk",7.22183582528845
"milk",7.21964204013074
"morning",7.21450441415114
"door",7.20711885620776
"box",7.20191631753163
"aren't",7.20042489294496
"coming",7.19967834569117
"after",7.19067603433221
"abe",7.1785454837637
"chair",7.1770187659099
"hair",7.17395831975679
"new",7.1731917424866
"hmm",7.16857989726403
"hold",7.16626597413364
"open",7.16549347506085
"hand",7.16317239084664
"head",7.15617663748062
"great",7.14755927118945
"still",7.14519613499717
"ready",7.13966033596492
"use",7.13489085156588
"done",7.12689080889881
"ask",7.11476944836646
"red",7.11395610956603
"our",7.10987946307227
"tape",7.10824413973154
"us",7.1066061377273
"peter",7.09257371597468
"never",7.09007683577609
"keep",7.07580886397839
"lot",7.07411681619736
"made",7.0604763659998
"four",7.0475172213573
"oops",7.04228617193974
"enough",7.03790596344718
"five",7.0343879299155
"even",7.02642680869964
"ball",7.02464903045364
"lovely",7.02464903045364
"yet",7.02108396428914
"story",7.0184017990692
"aye",7.01660968389422
"through",7.01571242048723
"floor",7.01211529430638
"haven't",7.00215595440362
"love",7.00215595440362
"playing",6.99668148817654
"toys",6.99209642741589
"their",6.99117688712121
"juice",6.98656645940643
"mouth",6.98564181763921
"came",6.98193467715639
"hello",6.98193467715639
"same",6.97541392745595
"looking",6.97354301952014
"ones",6.97166860472579
"paper",6.97073007814353
"stay",6.96979066990159
"green",6.96696713861398
"top",6.96696713861398
"honey",6.96602418710611
"called",6.95939851213398
"cathy",6.9555926083963
"tiger",6.9555926083963
"stop",6.95463886488099
"eating",6.95272864462487
"wants",6.94119005506837
"cat",6.93342302573071
"gone",6.93342302573071
"round",6.93342302573071
"blue",6.93244789157251
"hard",6.93147180559945
"old",6.93147180559945
"saw",6.93147180559945
"drink",6.92461239604856
"color",6.91671502035361
"call",6.90875477931522
"comes",6.90775527898214
"write",6.90475076996184
"ever",6.89972310728487
"might",6.89972310728487
"hurt",6.89669433162271
"bag",6.88959130835447
"outside",6.88857245956536
"bad",6.87419849545329
"hat",6.87419849545329
"funny",6.86380339145295
"game",6.85646198459459
"mmmm",6.85435450225502
"piece",6.85118492749374
"must",6.84694313958538
"horse",6.84374994900622
"wasn't",6.83410873881384
"pick",6.8330317327862
"o",6.83195356556585
"finished",6.82654522355659
"later",6.82654522355659
"while",6.82328612235569
"guess",6.82001636467413
"fall",6.81673588059497
"yesterday",6.81673588059497
"truck",6.81234509417748
"dear",6.81014245011514
"train",6.80682936039218
"nose",6.7990558620588
"birthday",6.78897174299217
"talking",6.78671695060508
"cause",6.78332520060396
"than",6.78332520060396
"careful",6.78219205600679
"everything",6.78219205600679
"picture",6.78105762593618
"hands",6.77764659363512
"told",6.77536609093639
"em",6.77422388635761
"cut",6.76849321164863
"tree",6.76849321164863
"ride",6.76734312526539
"children",6.76272950693188
"wouldn't",6.76041469108343
"throw",6.75460409948796
"mark",6.75227037614174
"yourself",6.75110146893676
"child",6.74993119378857
"cold",6.74993119378857
"cup",6.74641212857337
"och",6.73696695800186
"though",6.73340189183736
"pull",6.73101810048208
"until",6.73101810048208
"dinner",6.72623340235875
"making",6.72623340235875
"shoes",6.72623340235875
"move",6.71901315438526
"together",6.71901315438526
"sleep",6.71174039505618
"am",6.71052310945243
"fish",6.70563909486
"lady",6.70563909486
"seen",6.70563909486
"yours",6.70563909486
"sitting",6.68835471394676
"saying",6.68586094706836
"finish",6.68085467879022
"took",6.68085467879022
"push",6.67834211465433
"hot",6.67203294546107
"what're",6.66440902035041
"real",6.66057514983969
"part",6.64898455002478
"start",6.64248680136726
"side",6.64118216974059
"mother",6.63987583382654
"always",6.63856778916652
"yeh",6.63068338564237
"fix",6.62936325343745
"wrong",6.62804137617953
"different",6.62671774924902
"week",6.61606518513282
"stuff",6.61204103483309
"tomorrow",6.61204103483309
"having",6.61069604471776
"lunch",6.61069604471776
"second",6.60800062529609
"horsie",6.59987049921284
"nothing",6.59578051396131
"bird",6.59304453414244
"walk",6.59030104819669
"cake",6.58479139238572
"place",6.57646956904822
"christmas",6.57507584059962
"probably",6.57368016696065
"wanted",6.56103066589657
"tea",6.55961523749324
"gets",6.55819780281227
"left",6.55819780281227
"ross",6.55819780281227
"hit",6.55535689181067
"under",6.55535689181067
"buy",6.55250788703459
"david",6.55250788703459
"close",6.5424719605068
"listen",6.5366915975913
"eh",6.52941883826223
"somebody",6.52795791762255
"face",6.52649485957079
"sometimes",6.52209279817015
"inside",6.5206211275587
"silly",6.5191472879404
"feel",6.51619307604296
"ooh",6.51619307604296
"fell",6.51025834052315
"i'd",6.50876913697168
"half",6.50727771238501
"matter",6.50578406012823
"mine",6.50578406012823
"sorry",6.50279004591562
"wear",6.50279004591562
"every",6.50128967054039
"lots",6.50128967054039
"break",6.49978704065585
"couldn't",6.49978704065585
"cow",6.49677499018586
"supposed",6.49223983502047
"six",6.48768401848461
"gave",6.48463523563525
"tired",6.4831073514572
"stand",6.47850964220857
"trying",6.47697236288968
"bye",6.47389069635227
"ahead",6.4723462945009
"sing",6.4723462945009
"kids",6.46614472423762
"already",6.46146817635372
"sort",6.45833828334479
"used",6.45676965557216
"idea",6.45362499889269
"putting",6.45047042214418
"whole",6.44888939414686
"minutes",6.44571981938558
"money",6.4425401664682
"eve",6.44094654063292
"white",6.44094654063292
"draw",6.43615036836943
"happy",6.43294009273918
"may",6.42971947803914
"year",6.42971947803914
"run",6.42648845745769
"eyes",6.41836493593621
"food",6.41836493593621
"wash",6.41836493593621
"duck",6.4118182677099
"orange",6.4118182677099
"wow",6.4118182677099
"boys",6.41017488196617
"doggie",6.40522845803084
"fit",6.39859493453521
"we've",6.39692965521615
"yellow",6.39359075395063
"both",6.39024066706535
"it'll",6.38687931936265
"shem",6.3818160174061
"chicken",6.38012253689976
"hm",6.37842618365159
"bunny",6.37672694789863
"one's",6.37331978957701
"end",6.36818718635049
"pictures",6.36647044773144
"you'd",6.36647044773144
"dirty",6.36475075685191
"goodness",6.361302477573
"almost",6.35610766069589
"animals",6.35610766069589
"he'll",6.34388043412633
"light",6.34388043412633
"books",6.34035930372775
"fun",6.34035930372775
"crying",6.32793678372919
"yep",6.32793678372919
"coffee",6.3261494731551
"touch",6.3261494731551
"daddy's",6.30809844150953
"foot",6.30444880242198
"what'd",6.30444880242198
"hungry",6.30261897574491
"blow",6.30078579466324
"party",6.30078579466324
"live",6.289715570909
"mind",6.289715570909
"clean",6.28785856016178
"noise",6.28599809450886
"feet",6.28226674689601
"hole",6.2803958389602
"fire",6.27852142416584
"ten",6.27664348934164
"happens",6.27476202124194
"soon",6.27476202124194
"found",6.27287700654617
"toy",6.26149168432104
"anyway",6.25958146406492
"shirt",6.25958146406492
"bear",6.25766758788264
"blocks",6.25766758788264
"makes",6.25766758788264
"cream",6.25382881157547
"window",6.24997524225948
"paul",6.24804287450843
"seven",6.24804287450843
"bet",6.24416690066374
"own",6.24027584517077
"whose",6.23832462503951
"ice",6.23244801655052
"michael",6.23048144757848
"being",6.22455842927536
"black",6.22257626807137
"finger",6.22059017009974
"quite",6.21660610108486
"bite",6.20859002609663
"cheese",6.20859002609663
"bus",6.20657592672493
"tonight",6.20253551718792
"friend",6.20050917404269
"stick",6.20050917404269
"broken",6.19847871649231
"recorder",6.19847871649231
"either",6.19644412779452
"boat",6.19440539110467
"fine",6.19440539110467
"coat",6.18208490671663
"front",6.18208490671663
"page",6.18208490671663
"taking",6.18001665365257
"mommy's",6.1779441140506
"kitchen",6.17378610390194
"catch",6.16751649088834
"wet",6.16541785423142
"poor",6.16120732169508
"build",6.15697898558556
"pencil",6.15697898558556
"clothes",6.1527326947041
"teeth",6.1527326947041
"tv",6.1463292576689
"girls",6.14418563412565
"breakfast",6.13988455222626
"s",6.13122648948314
"she'll",6.12686918411419
"brought",6.12029741895095
"nine",6.11146733950268
"street",6.11146733950268
"brown",6.10924758276437
"bigger",6.10702288774225
"eight",6.10031895202006
"bobby",6.09356977004514
"everybody",6.09356977004514
